id;category_code;category;title;date;author_1;author_2;author_3;author_4;author_5;summary;link
arXiv:cs/9409101;[cs.AI];Computer Science > Artificial Intelligence;On Planning while Learning;[Submitted on 1 Sep 1994];S. Safra;M. Tennenholtz;;;;This paper introduces a framework for Planning while Learning where an agentis given a goal to achieve in an environment whose behavior is only partiallyknown to the agent. We discuss the tractability of various plan-designprocesses. We show that for a large natural class of Planning while Learningsystems, a plan can be presented and verified in a reasonable time. However,coming up algorithmically with a plan, even for simple classes of systems isapparently intractable. We emphasize the role of off-line plan-designprocesses, and show that, in most natural cases, the verification (projection)part can be carried out in an efficient algorithmic manner.;https://arxiv.org/abs/cs/9409101
arXiv:cs/9412102;[cs.AI];Computer Science > Artificial Intelligence;Operations for Learning with Graphical Models;[Submitted on 1 Dec 1994];W. L. Buntine;;;;;This paper is a multidisciplinary review of empirical, statistical learningfrom a graphical model perspective. Well-known examples of graphical modelsinclude Bayesian networks, directed graphs representing a Markov chain, andundirected networks representing a Markov field. These graphical models areextended to model data analysis and empirical learning using the notation ofplates. Graphical operations for simplifying and manipulating a problem areprovided including decomposition, differentiation, and the manipulation ofprobability models from the exponential family. Two standard algorithm schemasfor learning are reviewed in a graphical framework: Gibbs sampling and theexpectation maximization algorithm. Using these operations and schemas, somepopular algorithms can be synthesized from their graphical specification. Thisincludes versions of linear regression, techniques for feed-forward networks,and learning Gaussian and discrete Bayesian networks from data. The paperconcludes by sketching some implications for data analysis and summarizing howsome popular algorithms fall within the framework presented. The main originalcontributions here are the decomposition techniques and the demonstration thatgraphical models provide a framework for understanding and developing complexlearning algorithms.;https://arxiv.org/abs/cs/9412102
arXiv:cs/9412103;[cs.AI];Computer Science > Artificial Intelligence;Total-Order and Partial-Order Planning: A Comparative Analysis;[Submitted on 1 Dec 1994];S. Minton;J. Bresina;M. Drummond;;;For many years, the intuitions underlying partial-order planning were largelytaken for granted. Only in the past few years has there been renewed interestin the fundamental principles underlying this paradigm. In this paper, wepresent a rigorous comparative analysis of partial-order and total-orderplanning by focusing on two specific planners that can be directly compared. Weshow that there are some subtle assumptions that underly the wide-spreadintuitions regarding the supposed efficiency of partial-order planning. Forinstance, the superiority of partial-order planning can depend critically uponthe search strategy and the structure of the search space. Understanding theunderlying assumptions is crucial for constructing efficient planners.;https://arxiv.org/abs/cs/9412103
arXiv:cs/9412101;[cs.AI];Computer Science > Artificial Intelligence;Wrap-Up: a Trainable Discourse Module for Information Extraction;[Submitted on 1 Dec 1994];S. Soderland;Lehnert. W;;;;The vast amounts of on-line text now available have led to renewed interestin information extraction (IE) systems that analyze unrestricted text,producing a structured representation of selected information from the text.This paper presents a novel approach that uses machine learning to acquireknowledge for some of the higher level IE processing. Wrap-Up is a trainable IEdiscourse component that makes intersentential inferences and identifieslogical relations among information extracted from the text. Previouscorpus-based approaches were limited to lower level processing such aspart-of-speech tagging, lexical disambiguation, and dictionary construction.Wrap-Up is fully trainable, and not only automatically decides what classifiersare needed, but even derives the feature set for each classifier automatically.Performance equals that of a partially trainable discourse module requiringmanual customization for each domain.;https://arxiv.org/abs/cs/9412101
arXiv:cs/9408103;[cs.AI];Computer Science > Artificial Intelligence;A System for Induction of Oblique Decision Trees;[Submitted on 1 Aug 1994];S. K. Murthy;S. Kasif;S. Salzberg;;;This article describes a new system for induction of oblique decision trees.This system, OC1, combines deterministic hill-climbing with two forms ofrandomization to find a good oblique split (in the form of a hyperplane) ateach node of a decision tree. Oblique decision tree methods are tunedespecially for domains in which the attributes are numeric, although they canbe adapted to symbolic or mixed symbolic/numeric attributes. We presentextensive empirical studies, using both real and artificial data, that analyzeOC1's ability to construct oblique trees that are smaller and more accuratethan their axis-parallel counterparts. We also examine the benefits ofrandomization for the construction of oblique decision trees.;https://arxiv.org/abs/cs/9408103
arXiv:cs/9408102;[cs.AI];Computer Science > Artificial Intelligence;Pattern Matching and Discourse Processing in Information Extraction from Japanese Text;[Submitted on 1 Aug 1994];T. Kitani;Y. Eriguchi;M. Hara;;;"Information extraction is the task of automatically picking up information ofinterest from an unconstrained text. Information of interest is usuallyextracted in two steps. First, sentence level processing locates relevantpieces of information scattered throughout the text; second, discourseprocessing merges coreferential information to generate the output. In thefirst step, pieces of information are locally identified without recognizingany relationships among them. A key word search or simple pattern search canachieve this purpose. The second step requires deeper knowledge in order tounderstand relationships among separately identified pieces of information.Previous information extraction systems focused on the first step, partlybecause they were not required to link up each piece of information with otherpieces. To link the extracted pieces of information and map them onto astructured output format, complex discourse processing is essential. This paperreports on a Japanese information extraction system that merges informationusing a pattern matcher and discourse processor. Evaluation results show a highlevel of system performance which approaches human performance.";https://arxiv.org/abs/cs/9408102
arXiv:cs/9501103;[cs.AI];Computer Science > Artificial Intelligence;Truncating Temporal Differences: On the Efficient Implementation of TD(lambda) for Reinforcement Learning;[Submitted on 1 Jan 1995];P. Cichosz;;;;;Temporal difference (TD) methods constitute a class of methods for learningpredictions in multi-step prediction problems, parameterized by a recencyfactor lambda. Currently the most important application of these methods is totemporal credit assignment in reinforcement learning. Well known reinforcementlearning algorithms, such as AHC or Q-learning, may be viewed as instances ofTD learning. This paper examines the issues of the efficient and generalimplementation of TD(lambda) for arbitrary lambda, for use with reinforcementlearning algorithms optimizing the discounted sum of rewards. The traditionalapproach, based on eligibility traces, is argued to suffer from bothinefficiency and lack of generality. The TTD (Truncated Temporal Differences)procedure is proposed as an alternative, that indeed only approximatesTD(lambda), but requires very little computation per action and can be usedwith arbitrary function representation methods. The idea from which it isderived is fairly simple and not new, but probably unexplored so far.Encouraging experimental results are presented, suggesting that using lambda&gt 0 with the TTD procedure allows one to obtain a significant learningspeedup at essentially the same cost as usual TD(0) learning.;https://arxiv.org/abs/cs/9501103
arXiv:cs/9408101;[cs.AI];Computer Science > Artificial Intelligence;Random Worlds and Maximum Entropy;[Submitted on 1 Aug 1994];A. J. Grove;J. Y. Halpern;D. Koller;;;Given a knowledge base KB containing first-order and statistical facts, weconsider a principled method, called the random-worlds method, for computing adegree of belief that some formula Phi holds given KB. If we are reasoningabout a world or system consisting of N individuals, then we can consider allpossible worlds, or first-order models, with domain {1,...,N} that satisfy KB,and compute the fraction of them in which Phi is true. We define the degree ofbelief to be the asymptotic value of this fraction as N grows large. We showthat when the vocabulary underlying Phi and KB uses constants and unarypredicates only, we can naturally associate an entropy with each world. As Ngrows larger, there are many more worlds with higher entropy. Therefore, we canuse a maximum-entropy computation to compute the degree of belief. This resultis in a similar spirit to previous work in physics and artificial intelligence,but is far more general. Of equal interest to the result itself are thelimitations on its scope. Most importantly, the restriction to unary predicatesseems necessary. Although the random-worlds method makes sense in general, theconnection to maximum entropy seems to disappear in the non-unary case. Theseobservations suggest unexpected limitations to the applicability ofmaximum-entropy methods.;https://arxiv.org/abs/cs/9408101
arXiv:cs/9504101;[cs.AI];Computer Science > Artificial Intelligence;Rerepresenting and Restructuring Domain Theories: A Constructive Induction Approach;[Submitted on 1 Apr 1995];S. K. Donoho;L. A. Rendell;;;;Theory revision integrates inductive learning and background knowledge bycombining training examples with a coarse domain theory to produce a moreaccurate theory. There are two challenges that theory revision and othertheory-guided systems face. First, a representation language appropriate forthe initial theory may be inappropriate for an improved theory. While theoriginal representation may concisely express the initial theory, a moreaccurate theory forced to use that same representation may be bulky,cumbersome, and difficult to reach. Second, a theory structure suitable for acoarse domain theory may be insufficient for a fine-tuned theory. Systems thatproduce only small, local changes to a theory have limited value foraccomplishing complex structural alterations that may be required.Consequently, advanced theory-guided learning systems require flexiblerepresentation and flexible structure. An analysis of various theory revisionsystems and theory-guided learning systems reveals specific strengths andweaknesses in terms of these two desired properties. Designed to capture theunderlying qualities of each system, a new system uses theory-guidedconstructive induction. Experiments in three domains show improvement overprevious theory-guided systems. This leads to a study of the behavior,limitations, and potential of theory-guided constructive induction.;https://arxiv.org/abs/cs/9504101
arXiv:cs/9505105;[cs.AI];Computer Science > Artificial Intelligence;Pac-learning Recursive Logic Programs: Negative Results;[Submitted on 1 May 1995];W. W. Cohen;;;;;"In a companion paper it was shown that the class of constant-depthdeterminate k-ary recursive clauses is efficiently learnable. In this paper wepresent negative results showing that any natural generalization of this classis hard to learn in Valiant's model of pac-learnability. In particular, we showthat the following program classes are cryptographically hard to learn:programs with an unbounded number of constant-depth linear recursive clauses;programs with one constant-depth determinate clause containing an unboundednumber of recursive calls; and programs with one linear recursive clause ofconstant locality. These results immediately imply the non-learnability of anymore general class of programs. We also show that learning a constant-depthdeterminate program with either two linear recursive clauses or one linearrecursive clause and one non-recursive clause is as hard as learning booleanDNF. Together with positive results from the companion paper, these negativeresults establish a boundary of efficient learnability for recursivefunction-free clauses.";https://arxiv.org/abs/cs/9505105
arXiv:cs/9505104;[cs.AI];Computer Science > Artificial Intelligence;Pac-Learning Recursive Logic Programs: Efficient Algorithms;[Submitted on 1 May 1995];W. W. Cohen;;;;;We present algorithms that learn certain classes of function-free recursivelogic programs in polynomial time from equivalence queries. In particular, weshow that a single k-ary recursive constant-depth determinate clause islearnable. Two-clause programs consisting of one learnable recursive clause andone constant-depth determinate non-recursive clause are also learnable, if anadditional ``basecase'' oracle is assumed. These results immediately imply thepac-learnability of these classes. Although these classes of learnablerecursive programs are very constrained, it is shown in a companion paper thatthey are maximally general, in that generalizing either class in any naturalway leads to a computationally difficult learning problem. Thus, taken togetherwith its companion paper, this paper establishes a boundary of efficientlearnability for recursive logic programs.;https://arxiv.org/abs/cs/9505104
arXiv:cs/9505102;[cs.AI];Computer Science > Artificial Intelligence;Adaptive Load Balancing: A Study in Multi-Agent Learning;[Submitted on 1 May 1995];A. Schaerf;Y. Shoham;M. Tennenholtz;;;We study the process of multi-agent reinforcement learning in the context ofload balancing in a distributed system, without use of either centralcoordination or explicit communication. We first define a precise framework inwhich to study adaptive load balancing, important features of which are itsstochastic nature and the purely local information available to individualagents. Given this framework, we show illuminating results on the interplaybetween basic adaptive behavior parameters and their effect on systemefficiency. We then investigate the properties of adaptive load balancing inheterogeneous populations, and address the issue of exploration vs.exploitation in that context. Finally, we show that naive use of communicationmay not improve, and might even harm system efficiency.;https://arxiv.org/abs/cs/9505102
arXiv:cs/9505103;[cs.AI];Computer Science > Artificial Intelligence;Provably Bounded-Optimal Agents;[Submitted on 1 May 1995];S. J. Russell;D. Subramanian;;;;Since its inception, artificial intelligence has relied upon a theoreticalfoundation centered around perfect rationality as the desired property ofintelligent systems. We argue, as others have done, that this foundation isinadequate because it imposes fundamentally unsatisfiable requirements. As aresult, there has arisen a wide gap between theory and practice in AI,hindering progress in the field. We propose instead a property called boundedoptimality. Roughly speaking, an agent is bounded-optimal if its program is asolution to the constrained optimization problem presented by its architectureand the task environment. We show how to construct agents with this propertyfor a simple class of machine architectures in a broad class of real-timeenvironments. We illustrate these results using a simple model of an automatedmail sorting facility. We also define a weaker property, asymptotic boundedoptimality (ABO), that generalizes the notion of optimality in classicalcomplexity theory. We then construct universal ABO programs, i.e., programsthat are ABO no matter what real-time constraints are applied. Universal ABOprograms can be used as building blocks for more complex systems. We concludewith a discussion of the prospects for bounded optimality as a theoreticalbasis for AI, and relate it to similar trends in philosophy, economics, andgame theory.;https://arxiv.org/abs/cs/9505103
arXiv:cs/9503102;[cs.AI];Computer Science > Artificial Intelligence;Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm;[Submitted on 1 Mar 1995];P. D. Turney;;;;;This paper introduces ICET, a new algorithm for cost-sensitiveclassification. ICET uses a genetic algorithm to evolve a population of biasesfor a decision tree induction algorithm. The fitness function of the geneticalgorithm is the average cost of classification when using the decision tree,including both the costs of tests (features, measurements) and the costs ofclassification errors. ICET is compared here with three other algorithms forcost-sensitive classification - EG2, CS-ID3, and IDX - and also with C4.5,which classifies without regard to cost. The five algorithms are evaluatedempirically on five real-world medical datasets. Three sets of experiments areperformed. The first set examines the baseline performance of the fivealgorithms on the five datasets and establishes that ICET performssignificantly better than its competitors. The second set tests the robustnessof ICET under a variety of conditions and shows that ICET maintains itsadvantage. The third set looks at ICET's search in bias space and discovers away to improve the search.;https://arxiv.org/abs/cs/9503102
arXiv:cs/9505101;[cs.AI];Computer Science > Artificial Intelligence;Using Pivot Consistency to Decompose and Solve Functional CSPs;[Submitted on 1 May 1995];P. David;;;;;"Many studies have been carried out in order to increase the search efficiencyof constraint satisfaction problems; among them, some make use of structuralproperties of the constraint network; others take into account semanticproperties of the constraints, generally assuming that all the constraintspossess the given property. In this paper, we propose a new decompositionmethod benefiting from both semantic properties of functional constraints (notbijective constraints) and structural properties of the network; furthermore,not all the constraints need to be functional. We show that under someconditions, the existence of solutions can be guaranteed. We first characterizea particular subset of the variables, which we name a root set. We thenintroduce pivot consistency, a new local consistency which is a weak form ofpath consistency and can be achieved in O(n^2d^2) complexity (instead ofO(n^3d^3) for path consistency), and we present associated properties; inparticular, we show that any consistent instantiation of the root set can belinearly extended to a solution, which leads to the presentation of theaforementioned new method for solving by decomposing functional CSPs.";https://arxiv.org/abs/cs/9505101
arXiv:cs/9503101;[cs.AI];Computer Science > Artificial Intelligence;On the Informativeness of the DNA Promoter Sequences Domain Theory;[Submitted on 1 Mar 1995];J. Ortega;;;;;The DNA promoter sequences domain theory and database have become popular fortesting systems that integrate empirical and analytical learning. This notereports a simple change and reinterpretation of the domain theory in terms ofM-of-N concepts, involving no learning, that results in an accuracy of 93.4% onthe 106 items of the database. Moreover, an exhaustive search of the space ofM-of-N domain theory interpretations indicates that the expected accuracy of arandomly chosen interpretation is 76.5%, and that a maximum accuracy of 97.2%is achieved in 12 cases. This demonstrates the informativeness of the domaintheory, without the complications of understanding the interactions betweenvarious learning algorithms and the theory. In addition, our results helpcharacterize the difficulty of learning using the DNA promoters theory.;https://arxiv.org/abs/cs/9503101
arXiv:cs/9501102;[cs.AI];Computer Science > Artificial Intelligence;A Domain-Independent Algorithm for Plan Adaptation;[Submitted on 1 Jan 1995];S. Hanks;D. S. Weld;;;;The paradigms of transformational planning, case-based planning, and plandebugging all involve a process known as plan adaptation - modifying orrepairing an old plan so it solves a new problem. In this paper we provide adomain-independent algorithm for plan adaptation, demonstrate that it is sound,complete, and systematic, and compare it to other adaptation algorithms in theliterature. Our approach is based on a view of planning as searching a graph ofpartial plans. Generative planning starts at the graph's root and moves fromnode to node using plan-refinement operators. In planning by adaptation, alibrary plan - an arbitrary node in the plan graph - is the starting point forthe search, and the plan-adaptation algorithm can apply both the samerefinement operators available to a generative planner and can also retractconstraints and steps from the plan. Our algorithm's completeness ensures thatthe adaptation algorithm will eventually search the entire graph and itssystematicity ensures that it will do so without redundantly searching anyparts of the graph.;https://arxiv.org/abs/cs/9501102
arXiv:cs/9501101;[cs.AI];Computer Science > Artificial Intelligence;Solving Multiclass Learning Problems via Error-Correcting Output Codes;[Submitted on 1 Jan 1995];T. G. Dietterich;G. Bakiri;;;;Multiclass learning problems involve finding a definition for an unknownfunction f(x) whose range is a discrete set containing k &gt 2 values (i.e., k``classes''). The definition is acquired by studying collections of trainingexamples of the form [x_i, f (x_i)]. Existing approaches to multiclass learningproblems include direct application of multiclass algorithms such as thedecision-tree algorithms C4.5 and CART, application of binary concept learningalgorithms to learn individual binary functions for each of the k classes, andapplication of binary concept learning algorithms with distributed outputrepresentations. This paper compares these three approaches to a new techniquein which error-correcting codes are employed as a distributed outputrepresentation. We show that these output representations improve thegeneralization performance of both C4.5 and backpropagation on a wide range ofmulticlass learning tasks. We also demonstrate that this approach is robustwith respect to changes in the size of the training sample, the assignment ofdistributed representations to particular classes, and the application ofoverfitting avoidance techniques such as decision-tree pruning. Finally, weshow that---like the other methods---the error-correcting code technique canprovide reliable class probability estimates. Taken together, these resultsdemonstrate that error-correcting output codes provide a general-purpose methodfor improving the performance of inductive learning programs on multiclassproblems.;https://arxiv.org/abs/cs/9501101
arXiv:cs/9406102;[cs.AI];Computer Science > Artificial Intelligence;Applying GSAT to Non-Clausal Formulas;[Submitted on 1 Jun 1994];R. Sebastiani;;;;;In this paper we describe how to modify GSAT so that it can be applied tonon-clausal formulas. The idea is to use a particular ``score'' function whichgives the number of clauses of the CNF conversion of a formula which are falseunder a given truth assignment. Its value is computed in linear time, withoutconstructing the CNF conversion itself. The proposed methodology applies tomost of the variants of GSAT proposed so far.;https://arxiv.org/abs/cs/9406102
arXiv:cs/9406101;[cs.AI];Computer Science > Artificial Intelligence;A Semantics and Complete Algorithm for Subsumption in the CLASSIC Description Logic;[Submitted on 1 Jun 1994];A. Borgida;P. F. Patel-Schneider;;;;This paper analyzes the correctness of the subsumption algorithm used inCLASSIC, a description logic-based knowledge representation system that isbeing used in practical applications. In order to deal efficiently withindividuals in CLASSIC descriptions, the developers have had to use analgorithm that is incomplete with respect to the standard, model-theoreticsemantics for description logics. We provide a variant semantics fordescriptions with respect to which the current implementation is complete, andwhich can be independently motivated. The soundness and completeness of thepolynomial-time subsumption algorithm is established using description graphs,which are an abstracted version of the implementation structures used inCLASSIC, and are of independent interest.;https://arxiv.org/abs/cs/9406101
arXiv:cs/9401101;[cs.AI];Computer Science > Artificial Intelligence;Teleo-Reactive Programs for Agent Control;[Submitted on 1 Jan 1994];N. Nilsson;;;;;"A formalism is presented for computing and organizing actions for autonomousagents in dynamic environments. We introduce the notion of teleo-reactive (T-R)programs whose execution entails the construction of circuitry for thecontinuous computation of the parameters and conditions on which agent actionis based. In addition to continuous feedback, T-R programs support parameterbinding and recursion. A primary difference between T-R programs and many othercircuit-based systems is that the circuitry of T-R programs is more compact; itis constructed at run time and thus does not have to anticipate all thecontingencies that might arise over all possible runs. In addition, T-Rprograms are intuitive and easy to write and are written in a form that iscompatible with automatic planning and learning methods. We briefly describesome experimental applications of T-R programs in the control of simulated andactual mobile robots.";https://arxiv.org/abs/cs/9401101
arXiv:cs/9508102;[cs.AI];Computer Science > Artificial Intelligence;An Integrated Framework for Learning and Reasoning;[Submitted on 1 Aug 1995];C. G. Giraud-Carrier;T. R. Martinez;;;;Learning and reasoning are both aspects of what is considered to beintelligence. Their studies within AI have been separated historically,learning being the topic of machine learning and neural networks, and reasoningfalling under classical (or symbolic) AI. However, learning and reasoning arein many ways interdependent. This paper discusses the nature of some of theseinterdependencies and proposes a general framework called FLARE, that combinesinductive learning using prior knowledge together with reasoning in apropositional setting. Several examples that test the framework are presented,including classical induction, many important reasoning protocols and twosimple expert systems.;https://arxiv.org/abs/cs/9508102
arXiv:cs/9508101;[cs.AI];Computer Science > Artificial Intelligence;Using Qualitative Hypotheses to Identify Inaccurate Data;[Submitted on 1 Aug 1995];Q. Zhao;T. Nishida;;;;Identifying inaccurate data has long been regarded as a significant anddifficult problem in AI. In this paper, we present a new method for identifyinginaccurate data on the basis of qualitative correlations among related data.First, we introduce the definitions of related data and qualitativecorrelations among related data. Then we put forward a new concept calledsupport coefficient function (SCF). SCF can be used to extract, represent, andcalculate qualitative correlations among related data within a dataset. Wepropose an approach to determining dynamic shift intervals of inaccurate data,and an approach to calculating possibility of identifying inaccurate data,respectively. Both of the approaches are based on SCF. Finally we present analgorithm for identifying inaccurate data by using qualitative correlationsamong related data as confirmatory or disconfirmatory evidence. We havedeveloped a practical system for interpreting infrared spectra by applying themethod, and have fully tested the system against several hundred real spectra.The experimental results show that the method is significantly better than theconventional methods used in many similar systems.;https://arxiv.org/abs/cs/9508101
